頻道,#genre#
TVMU,http://154.44.15.148:5781/v/1/320
TvN,http://154.44.15.148:5781/v/1/321
tvN Movie,http://154.44.15.148:5781/v/1/322
Tvone,http://154.44.15.148:5781/v/1/323
TVRI National,http://154.44.15.148:5781/v/1/324
UFC Network,http://154.44.15.148:5781/v/1/325
Vasantham,http://154.44.15.148:5781/v/1/326
Vasantham backup,http://154.44.15.148:5781/v/1/327
Vijay Super,http://154.44.15.148:5781/v/1/328
Vision Prime,http://154.44.15.148:5781/v/1/329
Viu TV 69,http://154.44.15.148:5781/v/1/330
Viu6,http://154.44.15.148:5781/v/1/331
VIUTV1,http://154.44.15.148:5781/v/1/332
VTV 1,http://154.44.15.148:5781/v/1/333
VTV 7,http://154.44.15.148:5781/v/1/334
Warna,http://154.44.15.148:5781/v/1/335
Warna backup,http://154.44.15.148:5781/v/1/336
Warner TV,http://154.44.15.148:5781/v/1/337
Workpoint,http://154.44.15.148:5781/v/1/338
WWE,http://154.44.15.148:5781/v/1/339
Yonhap News,http://154.44.15.148:5781/v/1/340
YTN,http://154.44.15.148:5781/v/1/341
YTN DMB,http://154.44.15.148:5781/v/1/342
YTN Korean,http://154.44.15.148:5781/v/1/343
YTN Science,http://154.44.15.148:5781/v/1/344
Zee Action,http://154.44.15.148:5781/v/1/345
Zee Business,http://154.44.15.148:5781/v/1/346
Zee Cinema HD,http://154.44.15.148:5781/v/1/347
Zee News,http://154.44.15.148:5781/v/1/348
Zee Tamil,http://154.44.15.148:5781/v/1/349
Zee TV HD,http://154.44.15.148:5781/v/1/350



廣東南方衛視,http://154.44.15.148:5781/v/1/406
廣東衛視,http://154.44.15.148:5781/v/1/407
廣西衛視,http://154.44.15.148:5781/v/1/408

星衛電影,http://154.44.15.148:5781/v/1/410
歡喜台,http://154.44.15.148:5781/v/1/411
歡喜台 backup,http://154.44.15.148:5781/v/1/412
民視 HD,http://154.44.15.148:5781/v/1/413
民視台灣台,http://154.44.15.148:5781/v/1/414
江蘇衛視,http://154.44.15.148:5781/v/1/416
浙江衛視,http://154.44.15.148:5781/v/1/417
深圳衛視,http://154.44.15.148:5781/v/1/418
湖北衛視,http://154.44.15.148:5781/v/1/419
湖南衛視,http://154.44.15.148:5781/v/1/420
愛奇藝 iQiyi,http://154.44.15.148:5781/v/1/421
AFC 亞洲旅遊台,http://154.44.15.148:5781/v/1/4
愛爾達影劇,http://154.44.15.148:5781/v/1/425
愛爾達影劇台,http://154.44.15.148:5781/v/1/426
愛爾達綜合台,http://154.44.15.148:5781/v/1/427
珍珠台,http://154.44.15.148:5781/v/1/428
珍珠台  備用,http://154.44.15.148:5781/v/1/429
珠江台,http://154.44.15.148:5781/v/1/430
福建東南衛視,http://154.44.15.148:5781/v/1/431




ABC News,http://154.44.15.148:5781/v/1/1
Adithya,http://154.44.15.148:5781/v/1/2
AEC,http://154.44.15.148:5781/v/1/3
Al-Hijrah,http://154.44.15.148:5781/v/1/5
Al-Hijrah backup,http://154.44.15.148:5781/v/1/6
Al-Jazeera,http://154.44.15.148:5781/v/1/7
All the Kpop,http://154.44.15.148:5781/v/1/8
AlQuran AlKareem,http://154.44.15.148:5781/v/1/9
Amarin,http://154.44.15.148:5781/v/1/10
Animal Planet,http://154.44.15.148:5781/v/1/11
Animal_Planet,http://154.44.15.148:5781/v/1/12
Animax,http://154.44.15.148:5781/v/1/13
AnTV,http://154.44.15.148:5781/v/1/14
ANTV,http://154.44.15.148:5781/v/1/15
AOD,http://154.44.15.148:5781/v/1/16
Apps TV,http://154.44.15.148:5781/v/1/17
Arena,http://154.44.15.148:5781/v/1/18
Arena 2,http://154.44.15.148:5781/v/1/19
Arirang HD,http://154.44.15.148:5781/v/1/20
Asia Travel,http://154.44.15.148:5781/v/1/21
Asianet,http://154.44.15.148:5781/v/1/22
Asianet News,http://154.44.15.148:5781/v/1/23
Astro Cricket,http://154.44.15.148:5781/v/1/24
Astro Golf,http://154.44.15.148:5781/v/1/25
Astro KTV,http://154.44.15.148:5781/v/1/26
Astro MTV,http://154.44.15.148:5781/v/1/27
Astro Premier,http://154.44.15.148:5781/v/1/28
Astro QJ,http://154.44.15.148:5781/v/1/29
Astro Sunlife,http://154.44.15.148:5781/v/1/30
Astro Sunmusic,http://154.44.15.148:5781/v/1/31
Astro Vaanavil,http://154.44.15.148:5781/v/1/32
Astrol Kplus,http://154.44.15.148:5781/v/1/33
Aura,http://154.44.15.148:5781/v/1/34
Awani,http://154.44.15.148:5781/v/1/35
Awesome TV,http://154.44.15.148:5781/v/1/36
Axn HD,http://154.44.15.148:5781/v/1/37
AXN Taiwan,http://154.44.15.148:5781/v/1/38

Baby TV,http://154.44.15.148:5781/v/1/39
Baby TV Eng,http://154.44.15.148:5781/v/1/40
BBC 1,http://154.44.15.148:5781/v/1/41
BBC 2,http://154.44.15.148:5781/v/1/42
BBC Earth HD,http://154.44.15.148:5781/v/1/43
BBC Earth Lifestyle,http://154.44.15.148:5781/v/1/44
BBC Earth Tamil,http://154.44.15.148:5781/v/1/45
BBC World News,http://154.44.15.148:5781/v/1/46
Bein 1 Sports,http://154.44.15.148:5781/v/1/47
Bein 2 Sports,http://154.44.15.148:5781/v/1/48
Bein 2HD,http://154.44.15.148:5781/v/1/49
Bein 3 Sports,http://154.44.15.148:5781/v/1/50
Bein 4 Sports,http://154.44.15.148:5781/v/1/51
Bein 5 Sports,http://154.44.15.148:5781/v/1/52
Bein 6 Sports,http://154.44.15.148:5781/v/1/53
Bein 7 Sports,http://154.44.15.148:5781/v/1/54
Beinsports 2 HD,http://154.44.15.148:5781/v/1/55
Beinsports HD,http://154.44.15.148:5781/v/1/56
Berita Satu,http://154.44.15.148:5781/v/1/57
Bernama,http://154.44.15.148:5781/v/1/58
Bloomberg News,http://154.44.15.148:5781/v/1/59
BolaArena 1,http://154.44.15.148:5781/v/1/60
BolaArena 2,http://154.44.15.148:5781/v/1/61
Bollyone,http://154.44.15.148:5781/v/1/62
Boo,http://154.44.15.148:5781/v/1/63
Boomerang,http://154.44.15.148:5781/v/1/64
Boomerang Taiwan,http://154.44.15.148:5781/v/1/65
BPTV 2,http://154.44.15.148:5781/v/1/66
BRT HD,http://154.44.15.148:5781/v/1/67
BS-TBS,http://154.44.15.148:5781/v/1/68
テレビ朝日 Asahi TV,http://154.44.15.148:5781/v/1/351
テレビ東京 Tokyo TV,http://154.44.15.148:5781/v/1/352
BSジャパン 181,http://154.44.15.148:5781/v/1/69
BSフジ BS Fuji,http://154.44.15.148:5781/v/1/70
Ca Mau TV,http://154.44.15.148:5781/v/1/71
Cartoon Network,http://154.44.15.148:5781/v/1/72
CBBC,http://154.44.15.148:5781/v/1/73
CBeebies,http://154.44.15.148:5781/v/1/74
CBS,http://154.44.15.148:5781/v/1/75
CBS HD,http://154.44.15.148:5781/v/1/76
CBSN HD,http://154.44.15.148:5781/v/1/77


新聞,#genre#
民視新聞台 FTV News,http://154.44.15.148:5781/v/1/415
台視新聞台,http://154.44.15.148:5781/v/1/396
中視新聞台,http://154.44.15.148:5781/v/1/373
壹新聞台,http://154.44.15.148:5781/v/1/399
非凡新聞台,http://154.44.15.148:5781/v/1/445
年代新聞,http://154.44.15.148:5781/v/1/405
中天新聞 HD,http://154.44.15.148:5781/v/1/370
東森新聞 ETTV News,http://154.44.15.148:5781/v/1/360
東森財經新聞,http://154.44.15.148:5781/v/1/365
東森財經新聞 ETTV Business,http://154.44.15.148:5781/v/1/366
寰宇新聞台,http://154.44.15.148:5781/v/1/403
寰宇財經,http://154.44.15.148:5781/v/1/404
無線財經資訊台,http://154.44.15.148:5781/v/1/409





體育,#genre#
緯來體育台,http://154.44.15.148:5781/v/1/432
愛爾達體育1台,http://154.44.15.148:5781/v/1/422
愛爾達體育2台,http://154.44.15.148:5781/v/1/423
愛爾達體育3台,http://154.44.15.148:5781/v/1/424
博斯無限,http://154.44.15.148:5781/v/1/387
博斯網球 HD,http://154.44.15.148:5781/v/1/388
博斯運動 1,http://154.44.15.148:5781/v/1/389
博斯運動 2,http://154.44.15.148:5781/v/1/390
博斯高球1 HD,http://154.44.15.148:5781/v/1/391
博斯高球2 HD,http://154.44.15.148:5781/v/1/392





電影,#genre#
HBO Family,http://154.44.15.148:5781/v/1/155
HBO HD,http://154.44.15.148:5781/v/1/156
HBO Hits,http://154.44.15.148:5781/v/1/157
HBO Signature,http://154.44.15.148:5781/v/1/158
HBO_HD,http://154.44.15.148:5781/v/1/159
HBO_HITS,http://154.44.15.148:5781/v/1/160
History,http://154.44.15.148:5781/v/1/163
History Tamil,http://154.44.15.148:5781/v/1/164
緯來電影台,http://154.44.15.148:5781/v/1/434
美亞電影,http://154.44.15.148:5781/v/1/438
東森洋片,http://154.44.15.148:5781/v/1/361
東森電影,http://154.44.15.148:5781/v/1/362
東森電影 ETTV Movie,http://154.44.15.148:5781/v/1/363
龍華洋片,http://154.44.15.148:5781/v/1/449
龍華經典台,http://154.44.15.148:5781/v/1/450
龍祥時代,http://154.44.15.148:5781/v/1/451



知識,#genre#
HGTV,http://154.44.15.148:5781/v/1/162
Lifestyle&Fashion,http://154.44.15.148:5781/v/1/185
Discovery Asia,http://154.44.15.148:5781/v/1/129
Discovery HD,http://154.44.15.148:5781/v/1/130
Discovery Kids Tamil,http://154.44.15.148:5781/v/1/131
Discovery Tamil,http://154.44.15.148:5781/v/1/132
Discovery World Tamil,http://154.44.15.148:5781/v/1/133





